2015-8-19	7
2015-8-20	22820
2015-8-21	25045
2015-8-22	12376
2015-8-23	13219
2015-8-24	30929
2015-8-25	31972
2015-8-26	31011
2015-8-27	30357
2015-8-28	26197
2015-8-29	12820
2015-8-30	13757
2015-8-31	31991
2015-9-1	31898
2015-9-2	29558
2015-9-3	30118
2015-9-4	24331
2015-9-5	12075
2015-9-6	12317
2015-9-7	28945
2015-9-8	30080
2015-9-9	28870
2015-9-10	29897
2015-9-11	26147
2015-9-12	14071
2015-9-13	15631
2015-9-14	31897
2015-9-15	32781
2015-9-16	32171
2015-9-17	32140
2015-9-18	27901
2015-9-19	13551
2015-9-20	13972
2015-9-21	32684
2015-9-22	35114
2015-9-23	33603
2015-9-24	34045
2015-9-25	30180
2015-9-26	15289
2015-9-27	16098
2015-9-28	33139
2015-9-29	33706
2015-9-30	31375
2015-10-1	31392
2015-10-2	27091
2015-10-3	13452
2015-10-4	13262
2015-10-5	30129
2015-10-6	32746
2015-10-7	30060
2015-10-8	31062
2015-10-9	27756
2015-10-10	14109
2015-10-11	13315
2015-10-12	30953
2015-10-13	32926
2015-10-14	32216
2015-10-15	32145
2015-10-16	29034
2015-10-17	15843
2015-10-18	14676
2015-10-19	32600
2015-10-20	35091
2015-10-21	33550
2015-10-22	31979
2015-10-23	30066
2015-10-24	14435
2015-10-25	15624
2015-10-26	32380
2015-10-27	33701
2015-10-28	31054
2015-10-29	31568
2015-10-30	28492
2015-10-31	14315
2015-11-1	12287
2015-11-2	26657
2015-11-3	29421
2015-11-4	28985
2015-11-5	28968
2015-11-6	25405
2015-11-7	13262
2015-11-8	12503
2015-11-9	6937
