user_id	items
9	944146
69	2251345,606906,332955,606906
131	2659822
136	2256663
178	2527698,709614,760759,1077660
185	262614
239	109924,1920107
242	2409634
258	234280
285	738496,2146366,567107,798062
302	122748
343	1967183
350	311713
404	614418
514	2633723
527	2778525
548	1165605
587	1354558
667	1685484
669	2825903
689	2669856
693	887843
719	60781,60781
774	2268722
858	353958
884	697590
893	1129891
902	1386228,2142251
912	2796479
927	2304657
948	195899
1025	1583705
1064	16115,1810941,1754387
1078	2035957
1088	49980
1104	84893
1112	1652465
1122	1047625
1138	2042085
1144	1872301
1183	2581939
1196	934551,1157014
1233	2595626
1252	2030105
1272	653241
1275	1244196,1069281
1286	2024605
1339	1908277
1372	2115196
1459	533633,492472
1473	890181
1475	2485657
1493	2621668
1509	882543
1521	175149,2164743
1570	1158539
1599	959952
1621	649606
1648	2778525
1686	2683789
1703	712901
1776	1027893
1786	920226
1797	1001139
1804	811929,1274752
1824	2129235
1841	914866
1858	2624844,1410154,60419,2533257,2617720,2448397,1177669,1384520,2301668
1861	1087072,2470649,1087072,1053542,1897910,1083860
1869	987547
1907	694923
1982	2775144
1987	883650
1989	1065311
2009	1352246
2113	1577307
2124	182576
2126	2472375
2127	2136755
2173	1078303
2181	972388
2243	2095776,1982851,1569008,2095776,1982851,1569008,767138
2244	1519543,416944,2088207
2311	487904
2330	770730,770730,1848264,2829909
2334	1271184
2374	532258
2400	2512359
2442	1415355
2489	830073
2539	1644793
2553	2140236
2614	1064105,1064105
2630	1569306
2651	1290607
2662	907427
2679	103508
2691	732576
2709	2182289
2719	2819848
2791	945681
2813	2438696
2820	43511
2822	1081157
2825	977977
2836	968902
2857	2213987
2870	1830993
2914	711156
2932	1029364
2933	2144463
2947	265522
2983	1748521
2997	2110417
3011	209768
3030	1239082
3032	23791
3033	772865
3053	2778891
3078	1156031
3082	2321437
3101	1981600
3125	1443706
3130	489765
3134	2502325
3161	339920
3184	1526269,2724322
3195	2309062
3215	1309773
3251	692914
3256	968314
3258	470426
3265	1635556
3283	2318786
3291	2285597,753238
3319	1952387
3375	1053542
3379	2392154
3409	2412887
3476	517579
3507	2599965
3527	985561,2107106,2107106
3557	728356
3596	791554
3612	557492
3630	2795800
3633	1594714
3649	2710963
3683	1765021
3700	1717241,2442311,982816
3705	1687361
3725	2283633
3755	1054782
3806	1664169,1320005,353261,2538248,226021,1976791,1164169,947818,947818
3889	2647716
3899	1875442
3927	77120
3956	830073
3957	68242
3986	570668
3990	1301382
4005	2640582
4071	1525122
4080	1145032
4101	2438202
4122	955684,235042
4135	1926455
4157	1820860
4193	327624
4207	2340784
4262	1127105
4294	313528
4297	161269
4337	1001431
4375	2452527
4403	622935
4424	558807
4495	289114
4514	2439023,2661511,2475636,492334,655102
4521	599588
4582	1583705
4588	2419624
4603	2279648
4607	402866
4697	2015631
4844	1791015
4856	2721706,2721706,2603904,2419762,447194,2634888,2609488,26717,2603904,1632631,2363147,1236631,2749153,2107940
4908	2655733
5039	690034
5045	763393
5073	1474970
5112	1140546
5147	2673082
5212	1451436
5223	1943429
5249	1484502
5254	249791,67825
5282	379512
5298	2684599
5317	931519
5362	599863
5418	1171893
5476	1548649
5553	977134,544866
5564	606462
5575	633335
5584	1654295
5627	2063661
5649	732214,2285625
5656	1206551
5686	1430807
5690	1607755
5714	289559
5731	2432923
5738	42452
5759	2774545
5775	124951
5834	2317825
5839	687732
5855	2512933
5887	2621981,1571629
5910	1089547
5938	329031,329031
5951	864027
6126	1918605
6204	2690851
6237	2302302
6253	2302265
6293	1339147
6296	1475054
6304	269712
6393	721767
6399	1593289,2252974,570610,2158294,1314698,1221503,2618733,2771189,1399028,958454,1050950,744945,1808193,1000085,1345381,448347,569141,676809,569882,2519456,2446161,744766,2758995,2299127,2197026,2725609,1729032,293572,2507468,1476056,1350929,1461104,1329436,1392972,1920864,683365,1097977,1377124,92053,670313,143675,539980
6400	1594438
6435	890060
6436	2453650
6442	1904531,957329,2679190,1274336,2806644,1896667,1896667,1490958
6454	2401590
6507	169022
6521	276174
6522	276159
6534	709924
6540	190965
6542	140998
6565	1573914
6601	2269303
6715	1918020,2755079,1918020,2591118,2591118,1724323,1724323,1952234,1952234,962153,962153
6732	1320385
6826	243397
6872	1389265,1657538
6893	838252
6994	2638212
6997	1857124
7061	2392162
7065	1526269
7100	529259
7101	466673
7105	325132
7114	336007
7154	2229274
7182	2704123
7234	734196
7261	2212068
7364	2098928
7437	13359
7449	1018773
7469	130785
7490	950864
7582	247405
7634	1232690
7781	198907
7784	1011654
7875	2065845
7921	2376745
7976	2363388
7981	1847631
8041	885541
8044	558561
8048	1794132
8058	1905100
8071	2756434
8135	1902804
8141	234400
8251	735994
8263	335787
8294	2712128
8315	2084980
8316	2090499,2396281,92938,2023436
8342	2839370
8351	1354334
8382	522402
8402	1244196
8406	1831749
8471	2256663
8472	1411259,174133,90383,399006
8498	1944946,2297312,1709779
8508	2229274
8608	516103
8708	575209
8723	1463690
8768	2280850
8806	1176124
8808	909787
8811	289728
9012	1350464
9028	1588461
9126	640407
9142	2044400
9177	273846
9185	2266588,2210940,1233037,1894914,814793,2210940,654265,492591,2266588,2526717,1755733,1755733,4812
9206	613232
9239	1477953
9321	664921
9353	467223
9376	2180544
9479	1912912,1826468,1603895,2802183,528970,2324705
9567	635242
9605	524710
9643	2482557
9660	2246580
9663	1053452
9666	724889
9680	1714661
9686	1986537
9698	2315304
9771	985008,2049523
9780	1563726
9797	160236
9927	993640
9932	2561742
9962	330611
9975	390491
10015	1626023
10017	314669
10043	1806370
10044	1834374
10053	472040
10171	379972
10224	434392
10238	2502730
10271	1576126,508676,2580068,2206438,2604240
10274	57227
10288	2278619
10316	536047
10333	1616958
10349	1580615
10444	1718887
10464	1896240
10469	682382
10470	176651,1475433
10495	1598503
10522	168262,235609,2391900,1592461,536210,1441113,2229274,1583440,2244464,2244464,1775397,530592,143738,530592,433157,1962427,583313,2431540,1085942,1302621,720061
10600	2643423
10647	1769775
10662	2230072
10719	343377
10723	517579
10746	1729705
10747	1417963
10784	1635131
10799	2299323
10815	2628752
10827	2753736
10870	1192389
10920	1370105
10949	182521
10956	2423094
10994	2352766
10996	1809477
11008	163448
11020	542469
11027	2441566
11052	816057
11064	948852
11208	233416
11325	51667
11380	1724730
11382	330235
11383	189667
11412	659662
11422	2587124,98431,152258
11423	1315157
11436	2284039
11554	2527315
11586	2503746
11588	2298243
11616	1317754
11634	1964124,654119
11749	1293293
11756	1503218
11805	474276,629899,1571194
11834	283884
11867	1263507
11907	657183
