user_id	items
9	944146
69	2830029,606906,1284528,2649822
131	164199
136	2248611
178	1713247,709614,1201028,2527698
185	262614
239	1198635,1993000
242	2831562
258	926058
285	567107,798062,436140,2239960
302	122748
343	2333330
350	2734039
404	614418
527	544155
548	1165605
587	1354558
667	1685484
669	2577484
689	2669856
693	2790145
719	60781,2510401
774	149893
858	2164970
884	658316
893	829649
902	500654,2371338
912	2296671
927	1526854
948	1233470
1025	2371338
1064	467788,1959655,117216
1078	411941
1088	1527800
1104	2448385
1112	1652465
1122	2732736
1138	2042085
1144	590953
1183	529129
1196	166916,934551
1233	2595626
1252	434392
1272	1915984
1275	636425,2800525
1286	2024605
1339	1796282
1372	1590411
1459	1669762,203958
1473	2371411
1475	1487551
1509	1614301
1521	2746522,2188570
1570	1719349
1599	1774180
1621	649606
1648	2460908
1686	883610
1703	1619659
1776	754194
1786	745687
1797	436600
1804	1386412
1824	1941890
1841	1773400
1858	1529965,112768,1225509,2645481,385866,2375137,1863996,301145,72248
1861	1368635,1087072,179744,1624376,1805739,179744
1869	1223832
1982	2775144
1987	883650
1989	2433763
2009	1352246
2113	1577307
2124	1261577
2126	581327
2127	2619187
2173	1078303
2181	2513067
2243	2586734,454313,1444073,464939,1240881,2505736,1913307
2244	779190,1187299,127478
2311	429431
2330	615188,1888103,589455,2483664
2334	2249226
2374	1834751
2400	2512359
2442	2723103
2489	2400718
2539	1644793
2553	841192
2614	2434974,1741538
2630	1569306
2651	1290607
2662	907427
2679	103508
2691	732576
2709	2182289
2719	2194088
2791	1668153
2813	2410885
2820	386121
2822	581541
2825	1319002
2836	968902
2857	2213987
2870	1830993
2914	332304
2932	477856
2933	1967040
2947	2128544
2983	1994724
2997	2110417
3011	2381413
3030	1239082
3032	1999856
3033	772865
3053	683858
3078	419068
3082	2321437
3101	2387832
3125	1443706
3130	2005216
3134	1754712
3161	2097886
3184	1847251,1965971
3195	2309062
3215	1770067
3251	2077584
3256	695031
3258	1857
3265	562726
3283	2318786
3291	1921808,153862
3319	2126650
3375	1098848
3379	2392154
3409	2412887
3476	493483
3507	2482502
3527	1778333,500864,83052
3557	2350597
3596	791554
3612	2099011
3630	2795800
3633	2405333
3649	1873043
3683	1765021
3700	1040262,1287323,1580831
3705	830027
3725	2585636
3755	1465377
3806	56947,486593,1155565,1843061,2652953,1985532,2243274,2593485,2793221
3889	2647716
3899	1875442
3927	77120
3956	1295204
3957	369103
3986	2077015
3990	1301382
4005	1474970
4071	458894
4080	1145032
4101	231940
4122	2021269,1512443
4135	1386992
4157	1820860
4193	327624
4207	1231235
4262	1127105
4294	313528
4297	2823772
4337	2063098
4375	2452527
4403	1078717
4424	558807
4495	840266
4514	2599707,1241408,1509070,1213462,887318
4521	2732341
4582	1583705
4588	2419624
4603	2279648
4607	402866
4697	2015631
4844	1791015
4856	2621601,1398786,959538,151093,398303,1961427,1914232,1398786,1005932,1308952,622042,1766781,2634717,1725359
4908	2655733
5039	1525384
5045	357031
5073	2446769
5147	2673082
5212	1451436
5223	1943429
5249	1923046
5254	2294663,67825
5282	1569276
5298	1653439
5317	931519
5362	575052
5418	2834366
5476	1220055
5553	2094317,1101037
5564	1673229
5575	1283607
5584	696764
5627	2447392
5649	2285625,2285625
5656	2510960
5686	2295790
5690	2198994
5714	652782
5731	1551883
5738	1143987
5759	1526854
5775	124951
5834	278589
5839	2712481
5855	771424
5887	2758564,697920
5910	1089547
5938	2771466,938520
5951	1431504
6126	2426235
6204	2778274
6237	440866
6253	53278
6293	1339147
6296	1355669
6304	269712
6393	721767
6399	1233946,1384404,2215964,2158752,2409634,2409634,1651463,875415
6400	1594438
6435	890060
6436	2453650
6442	485525,1534416,2658124,589254,2043732,1036256,2604156,841284
6454	1587862
6507	169022
6521	1503966
6522	920520
6534	2597821
6540	2840526
6542	1503067
6565	1573914
6601	2007889
6715	962153,2145775,1540976,427907,2500171,1703245,2353220,1551318,2541631,124253,836088
6732	1320385
6826	243397
6872	1634149,492806
6893	141754
6994	2638212
6997	1857124
7061	2392162
7065	1235599
7100	1454241
7101	466673
7105	377687
7114	336007
7154	757207
7182	286278
7234	2571945
7261	816310
7364	2436565
7437	1358175
7449	147895
7469	130785
7582	247405
7634	2624146
7781	198907
7784	1011654
7875	2694073
7921	484238
7976	1784846
7981	1847631
8041	885541
8044	866258
8048	1794132
8058	1182765
8071	2434552
8135	1902804
8141	2751123
8251	735994
8263	2020806
8294	2712128
8315	351901
8316	1176982,496972,622040,173291
8342	1186226
8351	2479206
8382	966964
8402	1829452
